,spy_pco_ret,spy_oc_ret,vix_pco_ret,vix_oc_ret,tnx_pco_ret,tnx_oc_ret,dxy_pco_ret,dxy_oc_ret,cl_pco_ret,cl_oc_ret,gc_pco_ret,gc_oc_ret,tlt_pco_ret,tlt_oc_ret,xlf_pco_ret,xlf_oc_ret,xle_pco_ret,xle_oc_ret,xlc_pco_ret,xlc_oc_ret,xlu_pco_ret,xlu_oc_ret,xlv_pco_ret,xlv_oc_ret,xly_pco_ret,xly_oc_ret
spy_pco_ret,48.51358881777917,,,,,,,,,,,,,,,,,,,,,,,,,
spy_oc_ret,,26.53824923952267,,,,,,,,,,,,,,,,,,,,,,,,
vix_pco_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
vix_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
tnx_pco_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
tnx_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
dxy_pco_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
dxy_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
cl_pco_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
cl_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
gc_pco_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
gc_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
tlt_pco_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
tlt_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
xlf_pco_ret,,,,,,,,,,,,,,,11.767083295181665,,,,,,,,,,,
xlf_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
xle_pco_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
xle_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
xlc_pco_ret,,,,,,,,,,,,,,,,,,,6.87818306394198,,,,,,,
xlc_oc_ret,,,,,,,,,,,,,,,,,,,,5.155653216491263,,,,,,
xlu_pco_ret,,,,,,,,,,,,,,,,,,,,,5.242780999721031,,,,,
xlu_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
xlv_pco_ret,,,,,,,,,,,,,,,,,,,,,,,9.755072643491424,,,
xlv_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,
xly_pco_ret,,,,,,,,,,,,,,,,,,,,,,,,,12.695077853741493,
xly_oc_ret,,,,,,,,,,,,,,,,,,,,,,,,,,6.628046926827126
